molecule_chembl_id,pIC50,bioactivity_class,MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms
CHEMBL5565685,7.853871964321762,Highly Active,471.19248412,2.9830000000000005,2,7,95.58,9,33
CHEMBL5195325,7.818156412055227,Highly Active,511.193020276,2.814000000000001,2,7,114.04000000000002,12,36
CHEMBL222234,7.301029995663981,Highly Active,266.953105152,1.77,0,2,52.33,3,15
CHEMBL5595277,7.2839966563652,Highly Active,436.211055376,2.131,3,7,111.37,8,32
CHEMBL5560356,7.275724130399211,Highly Active,452.242355504,3.698,4,7,120.16,11,33
CHEMBL222840,7.221848749616356,Highly Active,223.00362073199997,1.594,0,2,52.33,3,15
CHEMBL222769,7.200659450546418,Highly Active,332.995948508,4.169,0,2,52.33,4,22
CHEMBL225515,7.187086643357144,Highly Active,272.035255208,3.0600000000000005,1,2,54.98,3,19
CHEMBL4850298,7.154901959985743,Highly Active,403.210721028,2.329000000000001,3,8,113.6,13,29
CHEMBL222893,7.022276394711152,Highly Active,288.996427176,3.2940000000000005,0,2,67.42999999999999,3,19
CHEMBL5564834,7.00436480540245,Highly Active,427.210721028,1.6470000000000002,2,7,104.81000000000002,10,31
CHEMBL2365410,6.791588413942891,Active,485.183185952,0.32500000000000084,5,11,179.51,14,33
CHEMBL5436771,6.781256314814579,Active,221.968771904,0.2660000000000001,1,2,57.010000000000005,3,12
CHEMBL426898,6.769551078621726,Active,273.019270796,2.9500000000000006,0,2,52.33,3,19
CHEMBL212218,6.522878745280337,Active,457.9353969639999,5.175000000000001,0,2,128.8,5,28
CHEMBL2311732,6.522878745280337,Active,447.252191916,4.762,1,5,75.44,9,33
CHEMBL2311734,6.522878745280337,Active,433.236541852,4.536,1,5,75.44,9,32
CHEMBL2311736,6.522878745280337,Active,422.23179082,4.4239999999999995,2,5,91.23,9,31
CHEMBL222735,6.468521082957745,Active,263.03492086,2.8090000000000006,0,2,48.42,4,18
CHEMBL4590273,6.418400268221168,Active,328.081638512,3.3320000000000007,1,3,99.61,6,22
CHEMBL2311692,6.301029995663981,Active,282.93026153200003,2.132,0,2,67.42999999999999,3,15
CHEMBL468553,6.301029995663981,Active,238.980777112,1.9560000000000004,0,2,67.42999999999999,3,15
CHEMBL2402691,6.221848749616356,Active,822.391204548,3.977999999999999,5,14,261.01,26,59
CHEMBL2442055,6.154901959985743,Active,455.141595912,4.317000000000003,0,5,101.38,8,33
CHEMBL212454,6.045757490560675,Active,561.817275056,6.490000000000002,0,4,95.12,8,31
CHEMBL5593485,6.045757490560675,Active,465.320271476,5.278999999999998,3,8,113.6,16,33
CHEMBL190743,6.022276394711152,Active,418.94769756,3.905,0,3,65.62,2,22
CHEMBL2442056,6.013228265733755,Active,425.131031228,3.674,0,5,92.15,7,31
CHEMBL365134,6.008773924307505,Active,370.96156166,3.635,0,3,65.62,2,22
CHEMBL383725,5.958607314841775,Moderately Active,412.991276624,4.771,0,3,37.38,2,23
