molecule_chembl_id,canonical_smiles,pActivity,n_measurements,targets,assay_types,bioactivity_class
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4.3979400086720375,3,CHEMBL3927;CHEMBL5118;CHEMBL4523582,IC50,Inactive
CHEMBL5277777,CC1=C(c2ccccc2)C1C(=O)NCc1nc(-c2ccccc2)no1,4.098977826751921,1,CHEMBL4523582,IC50,Inactive
CHEMBL5591923,CN1C(=O)C[n+]2ccccc2C1C(=O)Nc1ccccc1,5.050609993355087,1,CHEMBL4523582,IC50,Inactive
CHEMBL5624642,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CC[C@H](C2)N1C(=O)[C@H](CC1CCCCC1)NS(=O)(=O)C(F)(F)F)C(=O)c1nc2ccccc2s1,5.289036881004725,1,CHEMBL4523582,IC50,Inactive
CHEMBL5177086,CCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2S(=O)(=O)C1(C)C,5.2839966563652006,1,CHEMBL4523582,IC50,Inactive
CHEMBL5192910,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCn2nnc3ccccc32)c2cccnc2)cc1,5.089909454405932,1,CHEMBL4523582,IC50,Inactive
CHEMBL5632978,Cn1c(C(=O)NCCCNC(=O)n2cc(F)c(=O)[nH]c2=O)cc2ccccc21,5.823908740944319,1,CHEMBL4523582,IC50,Inactive
CHEMBL5424171,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)CCC(N)=O)cc12,4.5376020021010435,1,CHEMBL4523582,IC50,Inactive
CHEMBL5172628,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)c2ccc(C(F)(F)F)cc2[N+](=O)[O-])[C@@H](O)[C@H]1O,5.455931955649724,1,CHEMBL4523582,IC50,Inactive
CHEMBL5589635,O=C(c1cncc2ccc(F)cc12)N1CCN(Cc2ccc(Cl)cc2Cl)CC1,5.485452247339714,1,CHEMBL4523582,IC50,Inactive
CHEMBL377253,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,4.795880017344075,1,CHEMBL3927,IC50,Inactive
CHEMBL5179577,O=C(NCCCc1ccccc1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(-c2ccccc2)cc1,5.978810700930062,1,CHEMBL4523582,IC50,Inactive
CHEMBL1092796,CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,5.840968332518619,2,CHEMBL5118,IC50;Ki,Inactive
CHEMBL2402676,CC(C)C[C@H](NC(=O)CCc1cccnc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,5.130768280269024,1,CHEMBL3927,Ki,Inactive
CHEMBL3105071,COc1ccccc1CNC(=O)[C@H](C)NS(=O)(=O)c1ccccc1,4.52432881167557,1,CHEMBL5118,IC50,Inactive
CHEMBL2442076,CC(C)C(=O)Nc1ccc(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NC(C)(C)C)c2ccsc2)cc1,5.3872161432802645,1,CHEMBL3927,IC50,Inactive
CHEMBL380403,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(Cl)cc1,4.920818753952375,1,CHEMBL3927,IC50,Inactive
CHEMBL5281602,CC(C)=CCCC1=C[C@H](c2c(O)cc3c(c2O)C(=O)C[C@@H](c2ccc(O)cc2O)O3)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,5.318758762624412,1,CHEMBL4523582,IC50,Inactive
CHEMBL5209430,CC(=O)OCC1Cc2c(-c3ccc(S(C)(=O)=O)cn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,5.1771783546968955,1,CHEMBL4523582,IC50,Inactive
CHEMBL212019,CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,4.795880017344075,1,CHEMBL3927,IC50,Inactive
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,4.721246399047171,3,CHEMBL3927,IC50;Ki,Inactive
