MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms,Aromatic_Bonds,Ring_Count
544.2256598839999,2.9560000000000013,2,8,137.46,13,39,21,0
309.068719524,4.847,1,2,23.47,4,20,12,0
371.1845062800001,1.36,3,7,104.37,10,27,6,0
490.121000296,2.333,1,8,127.46,9,34,12,0
431.232125168,4.257,2,6,90.98,9,32,17,0
477.120585696,1.0850000000000002,1,8,153.49,9,33,11,0
482.241686808,3.9739999999999993,2,6,99.54,10,35,12,0
685.343526084,1.7329999999999997,7,14,237.65999999999997,20,49,11,0
468.098266452,1.264,4,10,159.86999999999998,6,31,16,0
282.04629855999997,2.1870000000000007,0,3,78.63,3,20,12,0
364.08571876,4.414,2,2,70.19,7,25,16,0
401.060090052,3.773000000000002,2,5,109.64,7,27,18,0
330.097997696,4.367,2,3,55.120000000000005,4,24,17,0
436.106408768,3.745000000000001,1,4,71.75000000000001,5,31,18,0
382.059945732,2.8579999999999997,2,5,89.27000000000001,3,25,12,0
222.04629856,1.2339999999999998,0,2,72.24000000000001,2,15,11,0
602.206227816,6.818,2,7,113.97,12,42,18,0
314.04265266,3.095,3,5,117.20000000000002,3,23,17,0
543.017179016,1.1059999999999997,4,10,203.01,7,33,16,0
502.140986792,2.087,1,8,136.69,10,35,12,0
605.2292841799999,-9.307,11,20,346.74,24,42,0,0
513.1635317160001,4.747000000000001,3,6,127.21999999999998,12,36,16,0
459.12190602400005,5.470999999999999,1,6,106.9,5,35,23,0
296.068473484,3.8050000000000006,3,4,90.9,2,22,17,0
366.0108395680001,3.826000000000001,0,3,94.7,4,24,12,0
506.172083024,3.970000000000001,1,6,94.89999999999998,13,36,18,0
289.05211221200005,2.603,3,5,132.94,5,20,11,0
586.23048409,2.0820000000000003,4,11,204.13,13,41,16,0
415.083806264,2.479,6,8,176.14999999999998,8,29,17,0
475.058319168,6.294999999999999,2,3,53.35000000000001,3,31,24,0
269.117569592,3.1129999999999987,2,4,83.96000000000001,5,19,6,0
406.132885308,4.980000000000002,3,5,95.58,3,30,23,0
402.140198944,5.344,2,2,79.41999999999999,8,29,22,0
475.11104024,4.357,1,4,92.54999999999998,4,33,12,0
625.293405096,2.9810000000000003,3,11,175.04000000000002,14,44,10,0
550.224991188,2.999,3,8,154.73,14,39,16,0
484.291277768,7.395999999999997,2,5,75.27000000000001,19,34,6,0
278.094294308,3.476999999999999,0,3,43.370000000000005,0,21,11,0
260.02964336400004,2.5330000000000004,1,3,59.67,3,18,10,0
469.140448548,3.9500000000000015,1,4,101.78,5,33,12,0
541.096080968,5.171,4,7,146.49,8,35,17,0
294.08268406799993,2.630000000000001,0,3,69.39999999999999,3,21,12,0
319.19698554799993,6.552,1,2,67.9,7,22,6,0
310.062342548,-0.5850000000000001,0,7,92.37,2,21,6,0
515.224262916,4.014,2,5,98.91,9,37,17,0
461.21369823200007,4.238,2,5,89.68,9,33,17,0
320.048318428,2.9290000000000003,0,3,33.2,3,21,12,0
302.07903816799995,1.6760000000000004,3,4,96.22,2,22,12,0
491.107040244,5.3229999999999995,0,5,89.72999999999999,8,34,22,0
348.26644501199996,9.958,2,3,57.53,15,25,6,0
576.9888177319999,7.672,1,4,59.42,5,34,24,0
304.995499892,3.041,0,1,31.23,2,18,16,0
524.092118452,2.9250000000000003,4,8,156.89999999999998,9,36,16,0
290.008410304,4.15,0,1,13.11,1,17,11,0
474.21482042799994,0.6089999999999995,3,11,159.36,13,32,0,0
475.127402392,0.05400000000000016,4,11,192.88999999999996,7,33,16,0
587.2802571320001,-2.5500000000000007,8,16,271.39,24,41,0,0
212.044190384,1.5550000000000002,1,2,82.31,5,13,6,0
470.027091596,5.136000000000001,1,4,53.290000000000006,4,29,18,0
410.947324748,5.004,0,2,43.1,4,24,17,0
462.136176184,3.550000000000001,2,7,150.5,9,33,18,0
414.186732448,4.386,2,4,82.16999999999999,9,30,17,0
334.06396849199996,3.155,0,3,33.2,3,22,12,0
383.082539748,5.822000000000002,0,3,58.68,3,28,24,0
304.025084448,3.1530000000000005,4,5,106.44,1,21,17,0
392.128468624,3.065,2,4,89.00999999999999,5,29,22,0
498.079826016,2.596000000000001,10,10,220.75999999999996,5,36,24,0
513.208612852,6.518000000000001,0,5,89.73000000000002,9,37,22,0
