MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms,Aromatic_Bonds,Ring_Count
325.986112096,4.152000000000001,2,3,92.47,4,21,12,NA
331.132076784,3.3520000000000008,1,3,68.02000000000001,6,25,17,NA
282.124251752,1.924,1,4,53.290000000000006,3,21,12,NA
697.221560596,3.9719999999999995,3,11,191.26,14,47,10,NA
410.114772044,0.8850000000000002,1,8,127.46000000000001,8,28,6,NA
508.22228875599995,4.078000000000001,1,7,106.15,10,38,27,NA
387.134282276,2.5019999999999993,3,6,117.98999999999998,8,28,16,NA
413.20630434400005,1.4070000000000007,4,7,150.1,12,30,10,NA
519.078401512,0.7699999999999996,4,10,216.99999999999997,7,35,16,NA
417.081095776,4.340999999999999,0,4,36.440000000000005,4,28,17,NA
304.04054448399995,2.4879999999999995,1,5,96.89,4,21,12,NA
515.220891788,5.495999999999999,1,5,75.44,12,39,29,NA
404.271530392,8.906000000000004,1,2,37.3,0,30,0,NA
535.225325536,2.0010000000000003,3,9,158.39,14,38,16,NA
348.11437812,2.194,2,5,92.88,8,24,12,NA
532.225659884,3.1230000000000007,2,8,137.46,12,38,21,NA
364.97364104400003,4.435,0,2,85.66,4,23,12,NA
694.241412036,6.455999999999999,8,10,205.20999999999998,8,51,24,NA
577.0558559680001,6.3950000000000005,1,6,101.94,6,37,24,NA
300.093248752,2.279,1,3,94.27000000000001,3,21,10,NA
246.100442308,0.9640000000000002,1,5,80.47,4,18,6,NA
367.153206152,2.175,2,6,93.44999999999999,8,27,17,NA
403.016768028,4.704000000000001,2,3,97.4,5,25,16,NA
456.011441532,4.91,1,4,53.290000000000006,4,28,18,NA
393.27801274,3.862000000000001,1,4,35.580000000000005,6,29,11,NA
524.073554632,6.597,1,5,83.21000000000001,5,35,24,NA
511.09686948399997,3.9350000000000005,0,5,112.1,9,35,21,NA
419.203133548,4.167,2,4,86.60000000000001,7,30,17,NA
595.2229384120001,2.6830000000000003,2,10,139.67999999999998,13,41,0,NA
299.072847656,1.7360000000000004,2,4,105.35999999999999,4,21,16,NA
431.23212516800004,4.257,2,6,90.98,9,32,17,NA
454.200490692,3.713000000000001,1,6,88.33,9,34,23,NA
524.320999748,1.8510000000000009,3,11,143.14,15,37,0,NA
390.047945132,4.224,2,4,162.68,6,27,16,NA
314.04265266,3.0949999999999998,3,5,117.20000000000002,3,23,17,NA
373.215412484,5.016,2,4,44.370000000000005,6,28,17,NA
421.0418531440001,3.349,1,5,80.89,6,27,11,NA
468.098266452,1.264,4,10,159.86999999999998,6,31,16,NA
546.241309948,3.3240000000000007,2,8,137.46,12,39,21,NA
445.236541852,4.563000000000001,1,5,75.44,10,33,17,NA
333.14886972,4.390000000000001,2,4,83.96000000000001,9,24,12,NA
505.31920885600005,6.622,0,5,84.22999999999999,2,37,0,NA
452.050847994,3.5249999999999995,5,9,185.92999999999998,3,31,17,NA
384.129450992,3.043,2,7,167.36,7,28,16,NA
377.1142338,2.986,1,4,92.54999999999998,3,26,6,NA
495.171354752,5.958,1,5,62.300000000000004,10,36,24,NA
536.209341124,3.4970000000000008,3,9,154.73,15,38,16,NA
486.146072172,1.9650000000000005,1,9,127.46000000000001,10,34,12,NA
323.01313986,3.2250000000000005,3,5,132.94,5,21,11,NA
474.26309094799996,4.0200000000000005,3,5,88.42,10,35,17,NA
456.13550748800003,1.2960000000000005,1,7,108.00000000000001,9,32,12,NA
415.066588584,3.543,0,4,45.67,6,27,12,NA
337.06517543200005,3.1139999999999994,2,5,100.41000000000001,7,22,12,NA
264.126263132,3.331,0,2,34.89,3,20,16,NA
513.152240848,6.114999999999998,2,4,116.49000000000001,8,37,28,NA
377.13103122800004,2.632,1,5,91.28999999999999,7,27,21,NA
488.26098277200003,4.251999999999999,3,5,84.63999999999999,9,35,17,NA
306.045213176,2.8529999999999998,4,5,106.44000000000001,1,22,17,NA
399.119461412,4.277000000000001,1,3,68.02000000000001,7,29,17,NA
570.072722036,4.2490000000000006,1,6,75.19,11,37,18,NA
481.236541852,5.382999999999999,1,5,75.44,10,36,23,NA
661.337652856,4.267000000000001,2,9,121.69,18,49,28,NA
530.097071292,1.8040000000000005,1,8,140.6,10,36,11,NA
309.07832696,-0.25500000000000017,1,7,95.16999999999999,2,21,6,NA
373.14853852000005,4.287000000000001,2,4,67.79,6,28,18,NA
406.20788458,4.487,1,3,54.95,7,29,17,NA
372.048131964,1.739,6,6,149.07,2,27,18,NA
474.157957184,6.719999999999999,1,5,79.19999999999999,7,36,24,NA
372.171201944,4.1530000000000005,1,4,53.290000000000006,4,28,18,NA
533.099041108,8.074,2,3,53.35000000000001,4,36,30,NA
565.23589022,2.6,4,9,166.76,15,40,16,NA
459.23220542,5.051000000000001,1,5,62.300000000000004,11,34,18,NA
507.117268492,4.96,1,4,92.54999999999998,5,35,12,NA
732.344254356,1.7489999999999994,6,14,272.01,23,52,11,NA
360.183778008,4.722,2,3,50.36,6,27,17,NA
262.050905272,2.54,1,3,51.22,4,18,12,NA
400.993255712,1.5140000000000002,0,6,89.13,4,23,6,NA
429.223868992,5.0009999999999994,1,2,50.51,7,31,21,NA
385.02878992399997,4.5040000000000004,0,5,94.33000000000001,4,26,22,NA
514.117460608,3.909999999999999,1,7,85.95,5,35,17,NA
404.01941088399997,4.202,2,2,79.41999999999999,7,24,16,NA
471.192865992,9.298000000000004,0,1,60.660000000000004,5,33,21,NA
503.220891788,5.0150000000000015,1,6,79.37,11,38,24,NA
397.14264146799997,4.994,1,4,76.72000000000001,4,30,21,NA
538.089996776,7.253999999999999,6,8,181.8,3,40,34,NA
452.117235244,5.908999999999999,1,5,83.11,5,34,23,NA
290.04736118,2.88,2,3,138.78000000000003,5,20,11,NA
413.135111476,4.803000000000001,1,3,68.02000000000001,7,30,17,NA
497.177312724,6.709999999999998,1,4,93.47,7,36,28,NA
720.3873479920001,6.670000000000001,5,9,178.65999999999997,10,52,6,NA
302.04265266,3.4459999999999997,5,6,131.36,1,22,17,NA
307.114376032,3.708999999999999,2,4,83.96000000000001,8,21,6,NA
391.258339916,0.7820000000000003,3,8,114.33000000000001,11,28,0,NA
463.16781066000004,3.4890000000000017,1,7,117.59,11,33,21,NA
445.157245976,3.015,1,6,108.36000000000001,9,32,21,NA
296.046692484,-0.2980000000000001,1,7,101.16,2,20,6,NA
503.23549629600006,2.7449999999999997,5,7,122.52999999999999,11,36,17,NA
394.116486296,0.8170000000000006,2,6,119.16000000000003,6,29,12,NA
358.168127944,4.912000000000001,2,4,58.2,7,27,17,NA
350.20932406,2.912999999999999,3,5,86.99000000000001,3,25,0,NA
490.24274942799997,0.5160000000000001,3,10,147.04999999999998,15,35,5,NA
289.12334194,4.662,1,2,23.47,4,20,12,NA
489.24499836000007,4.6979999999999995,2,4,81.84,9,35,17,NA
323.01313985999997,3.2249999999999996,3,5,132.94,5,21,11,NA
730.328604292,1.6249999999999996,7,14,280.8,21,52,11,NA
659.3530281479999,1.783,6,14,201.25999999999996,23,47,6,NA
264.048110128,1.9859999999999998,2,4,108.53,4,18,11,NA
478.1773723,2.083,1,9,127.46000000000001,9,33,6,NA
417.205241724,3.690000000000001,1,5,75.44,9,31,17,NA
410.180584448,5.501,2,3,64.35,8,30,18,NA
310.113984196,3.6310000000000002,1,2,61.4,6,22,16,NA
420.14739249999997,6.951,1,3,76.22,5,32,28,NA
373.118632212,2.198,4,6,128.85,8,27,16,NA
354.17664194,3.186,2,6,84.5,11,24,0,NA
455.220891788,6.147999999999999,2,4,88.25,6,34,22,NA
309.068719524,4.847,1,2,23.47,4,20,12,NA
418.219175448,2.661,3,7,111.09,12,29,0,NA
324.03508224399997,1.4469999999999998,3,6,164.18,5,21,11,NA
286.05244656,2.3050000000000006,3,5,139.66,4,20,11,NA
541.096080968,5.171,4,7,146.49,8,35,17,NA
393.205241724,4.236,2,3,90.38,8,29,17,NA
489.25623174,3.7279999999999998,4,6,106.32,10,35,17,NA
626.1788117799999,4.634000000000002,8,10,205.20999999999998,5,46,24,NA
636.373429244,1.9260000000000002,5,13,189.22999999999996,23,45,0,NA
