num.trees,mtry,min.node.size,mean_cv_rmse,sd_cv_rmse
300,10,3,NA,NA
500,10,3,NA,NA
700,10,3,NA,NA
300,20,3,NA,NA
500,20,3,NA,NA
700,20,3,NA,NA
300,2,3,0.7990246741115395,0.1305471357829057
500,2,3,0.7974204529859472,0.13314081533674915
700,2,3,0.7936861060422933,0.13014998688562487
300,50,3,NA,NA
500,50,3,NA,NA
700,50,3,NA,NA
300,10,5,NA,NA
500,10,5,NA,NA
700,10,5,NA,NA
300,20,5,NA,NA
500,20,5,NA,NA
700,20,5,NA,NA
300,2,5,0.7934320917127319,0.12420681263928894
500,2,5,0.7905881812121789,0.125824905564924
700,2,5,0.7892284495234436,0.1265933292786246
300,50,5,NA,NA
500,50,5,NA,NA
700,50,5,NA,NA
300,10,10,NA,NA
500,10,10,NA,NA
700,10,10,NA,NA
300,20,10,NA,NA
500,20,10,NA,NA
700,20,10,NA,NA
300,2,10,0.7982454578467932,0.12111882209791494
500,2,10,0.7958636827585629,0.12081745896379299
700,2,10,0.795123746484038,0.12145052274152461
300,50,10,NA,NA
500,50,10,NA,NA
700,50,10,NA,NA
