Actual,Predicted,Model,ModelFull,Residuals
5.171984935776023,5.196347899213877,RF,Random Forest,-0.024362963437853935
4.987162775294828,5.27878082794638,RF,Random Forest,-0.29161805265155216
5.598599459218456,5.3665038577006925,RF,Random Forest,0.23209560151776376
5.747146969020107,5.93426551973696,RF,Random Forest,-0.18711855071685335
5.1487416512809245,5.278677519265383,RF,Random Forest,-0.12993586798445822
4.024568191490737,6.303527388139621,RF,Random Forest,-2.2789591966488834
4.309803919971486,4.936258810634875,RF,Random Forest,-0.6264548906633891
4.127843727251707,5.283134105160068,RF,Random Forest,-1.1552903779083605
5.283395195614263,5.232220542709548,RF,Random Forest,0.05117465290471479
5.102372908709558,5.173095063503633,RF,Random Forest,-0.0707221547940744
5.566070234391536,5.419065274634406,RF,Random Forest,0.14700495975713057
4.154901959985743,5.342489353150717,RF,Random Forest,-1.187587393164974
5.303643611266668,5.731822022103129,RF,Random Forest,-0.4281784108364617
4.6020599913279625,5.339261843327151,RF,Random Forest,-0.7372018519991883
4.6930776625519295,5.6304411650204536,RF,Random Forest,-0.9373635024685241
5.847711655616943,6.3933889349716715,RF,Random Forest,-0.5456772793547282
5.896880746454286,6.45718654212176,RF,Random Forest,-0.5603057956674737
4.616184634019569,5.486905604805394,RF,Random Forest,-0.8707209707858254
5.943095148663527,6.087939265163985,RF,Random Forest,-0.14484411650045814
5.36028060585649,5.372297490005588,RF,Random Forest,-0.012016884149097962
4.979877684186166,4.9027967847853855,RF,Random Forest,0.07708089940078011
5.345823458122039,5.912224562133042,RF,Random Forest,-0.5664011040110024
4.393969992504873,5.301644807838565,RF,Random Forest,-0.9076748153336922
5.404503778174425,6.603880442182067,RF,Random Forest,-1.1993766640076418
4.849243560139691,5.30455174604356,RF,Random Forest,-0.4553081859038697
4.52432881167557,5.579668253480229,RF,Random Forest,-1.0553394418046587
5.301029995663981,5.339008486409173,RF,Random Forest,-0.037978490745191884
5.173925197299174,4.962591471221857,RF,Random Forest,0.21133372607731715
5.008906891951113,5.409376685137878,RF,Random Forest,-0.40046979318676534
5.607303046740334,5.588924774193505,RF,Random Forest,0.01837827254682889
5.007004901568658,5.3708638661851325,RF,Random Forest,-0.36385896461647427
5.229147988357856,5.334671096289313,RF,Random Forest,-0.10552310793145647
4.142667503568732,4.9050878710313235,RF,Random Forest,-0.7624203674625916
5.314724951750396,4.905866801930569,RF,Random Forest,0.40885814981982715
5.154901959985743,5.183157142561223,RF,Random Forest,-0.028255182575479765
4.7697754948726185,5.6775016900274196,RF,Random Forest,-0.907726195154801
5.137868620686962,5.918259103707687,RF,Random Forest,-0.7803904830207244
5.136677139879544,5.805811938170357,RF,Random Forest,-0.6691347982908127
5.91604609499926,5.953436465509844,RF,Random Forest,-0.03739037051058425
5.896196279044043,6.7677024219892585,RF,Random Forest,-0.8715061429452158
5.920818753952375,6.010594687684702,RF,Random Forest,-0.0897759337323274
5.292429823902063,5.828807659276871,RF,Random Forest,-0.5363778353748074
5.38933983691012,6.018639602043747,RF,Random Forest,-0.6292997651336263
5.398970097364309,5.763656664662697,RF,Random Forest,-0.36468656729838855
5.621602099051862,6.11650449690413,RF,Random Forest,-0.4949023978522682
4.795880017344075,5.265037768176143,RF,Random Forest,-0.4691577508320677
4.798602875679548,5.360350071344568,RF,Random Forest,-0.5617471956650197
4.522878745280337,5.38504495814586,RF,Random Forest,-0.8621662128655228
5.3979400086720375,5.733551050907567,RF,Random Forest,-0.33561104223552984
5.08196966321512,5.228431827076837,RF,Random Forest,-0.14646216386171673
4.301029995663981,5.463307181328161,RF,Random Forest,-1.1622771856641796
5.3872161432802645,5.4829942628017045,RF,Random Forest,-0.09577811952144
4.494850021680094,5.597815892084471,RF,Random Forest,-1.1029658704043772
4.959793372425289,5.154954062841584,RF,Random Forest,-0.19516069041629525
5.779891911959945,5.883153848454619,RF,Random Forest,-0.10326193649467363
5.954677021213342,5.200313244307512,RF,Random Forest,0.75436377690583
4.301029995663981,5.470997559801261,RF,Random Forest,-1.1699675641372798
4.645891560852599,5.916947794804903,RF,Random Forest,-1.2710562339523044
5.552841968657781,6.623410220279049,RF,Random Forest,-1.0705682516212685
5.541513236201793,5.748608647870505,RF,Random Forest,-0.20709541166871137
4.489454989793388,5.489040835806785,RF,Random Forest,-0.9995858460133968
5.2441251443275085,5.293404571488295,RF,Random Forest,-0.04927942716078615
5.812197361281581,5.602664913387503,RF,Random Forest,0.20953244789407766
5.692503962086787,5.517885001521915,RF,Random Forest,0.1746189605648727
5.924453038607469,5.706566193371738,RF,Random Forest,0.2178868452357312
4.896196279044043,5.543815740744701,RF,Random Forest,-0.6476194617006579
4.927015255372069,5.004699775586951,RF,Random Forest,-0.07768452021488148
5.26721043400512,5.592728528152271,RF,Random Forest,-0.32551809414715116
5.1249387366083,5.824926245828931,RF,Random Forest,-0.6999875092206311
5.443697499232712,6.919041271593736,RF,Random Forest,-1.4753437723610237
4.487715936718146,4.941155348747627,RF,Random Forest,-0.4534394120294811
5.154901959985743,5.5800148850893665,RF,Random Forest,-0.4251129251036234
5.5003129173815966,5.415989861925658,RF,Random Forest,0.08432305545593888
4.7271159920804795,5.592134865177386,RF,Random Forest,-0.8650188730969068
5.839107608520049,5.394383689005844,RF,Random Forest,0.444723919514205
5.698970004336019,5.430698422295488,RF,Random Forest,0.2682715820405308
5.413412695328245,5.354231664982841,RF,Random Forest,0.05918103034540412
5.782516055786093,5.655316957898476,RF,Random Forest,0.12719909788761719
5.243062583910497,6.456214326066128,RF,Random Forest,-1.213151742155631
4.87942606879415,5.199633641802234,RF,Random Forest,-0.32020757300808356
4.962573502059376,5.411392674731958,RF,Random Forest,-0.4488191726725814
5.583359492661719,5.996228703363904,RF,Random Forest,-0.4128692107021852
5.47716468633947,5.705229609936765,RF,Random Forest,-0.22806492359729535
5.8297382846050425,6.283086226613542,RF,Random Forest,-0.4533479420084996
5.318758762624412,5.359681141221042,RF,Random Forest,-0.04092237859662973
4.978810700930062,5.307135238755386,RF,Random Forest,-0.3283245378253241
5.366531544420414,5.6255865468684165,RF,Random Forest,-0.2590550024480027
5.7544873321858505,5.481227512441302,RF,Random Forest,0.27325981974454816
5.1904402853647325,5.8730497940935145,RF,Random Forest,-0.682609508728782
5.714442690992226,5.783037637801322,RF,Random Forest,-0.06859494680909606
4.6728454875905685,4.691044652573431,RF,Random Forest,-0.018199164982862115
5.494850021680094,5.251165105766113,RF,Random Forest,0.24368491591398111
5.356547323513812,7.247101132556138,RF,Random Forest,-1.8905538090423262
4.202109516941651,5.6332518885777,RF,Random Forest,-1.4311423716360485
4.55129368009492,5.0960005828882595,RF,Random Forest,-0.5447069027933393
5.4639468448407955,6.254465000763909,RF,Random Forest,-0.7905181559231131
4.507421539361472,4.62303376747002,RF,Random Forest,-0.11561222810854854
5.468521082957745,5.437302472581125,RF,Random Forest,0.031218610376619438
5.556760370740626,6.231079136794848,RF,Random Forest,-0.6743187660542214
5.6777807052660805,5.8848864492496356,RF,Random Forest,-0.20710574398355508
4.500741737474016,5.511482172197166,RF,Random Forest,-1.0107404347231501
5.508204896417883,5.283179253439788,RF,Random Forest,0.22502564297809524
5.455931955649724,5.821627991427764,RF,Random Forest,-0.3656960357780399
5.237445836968988,5.086060858138048,RF,Random Forest,0.15138497883093915
4.903089986991944,5.760787461723765,RF,Random Forest,-0.8576974747318209
4.84454718531193,5.781253225378551,RF,Random Forest,-0.9367060400666212
4.511449283499556,4.523382206817997,RF,Random Forest,-0.011932923318441091
5.5934598195660445,5.566649930372564,RF,Random Forest,0.026809889193480707
5.639595945270061,5.96368977287026,RF,Random Forest,-0.32409382760019856
4.521439352535898,5.116363114026003,RF,Random Forest,-0.5949237614901044
4.174573882232177,5.83120648207313,RF,Random Forest,-1.656632599840953
5,5.299469511637994,RF,Random Forest,-0.2994695116379944
4.8823973083099155,5.646664185722499,RF,Random Forest,-0.7642668774125836
4.281498311132726,4.777606598680984,RF,Random Forest,-0.49610828754825853
4.756218083906205,5.083700430342455,RF,Random Forest,-0.3274823464362502
4.954677021213342,5.015271512908718,RF,Random Forest,-0.06059449169537601
4.457050151185821,4.907635588586472,RF,Random Forest,-0.45058543740065105
5.4358003656410965,5.762091114155753,RF,Random Forest,-0.32629074851465667
5.157390760389438,5.38546205080203,RF,Random Forest,-0.22807129041259167
